Timestamp,ID operatore,Genere,Età,Ruolo o impiego,"Se 'Altro', quale?",Esperienza con attività manuali di assemblaggio,Hai assemblato quale prodotto?,"L’attività di assemblaggio era chiara da comprendere? (1 = poco chiara, 5 = molto chiara)","La sequenza operativa era intuitiva? (1 = poco intuitiva, 5 = molto intuitiva)","Il livello di difficoltà dell’assemblaggio era (1 = poco difficile, 5 = molto difficile):",Il tempo totale di esecuzione del compito ti è sembrato:,Quali passaggi dell’assemblaggio ti sono risultati più complessi?,"Quanto sforzo fisico hai percepito durante l’assemblaggio? (1 = poco sforzo, 5 = molto sforzo)","La postura richiesta dall’assemblaggio era confortevole? (1 = poco confortevole, 5 = molto confortevole)",Hai percepito affaticamento significativo?,Indica eventuali momenti in cui hai percepito affaticamento o scomodità.,"Ti sei sentito sicuro durante l’assemblaggio? (1 = poco sicuro, 5 = molto sicuro)",Hai incontrato situazioni potenzialmente pericolose?,Descrivi eventuali rischi percepiti o problemi di sicurezza.,"Ritieni che il flusso operativo fosse efficiente? (1 = poco efficiente, 5 = molto efficiente)","Gli strumenti necessari (chiavi, viti, componenti) erano facilmente accessibili? (1 = poco accessibili, 5 = molto accessibili)","Quanto è stata fluida l’esecuzione delle varie fasi dell’assemblaggio? (1 = poco fluida, 5 = molto fluida)",Quali strumenti o aspetti migliorerebbero la tua efficienza operativa?,"Valutazione complessiva dell’esperienza di assemblaggio manuale (1 = molto negativa, 5 = molto positiva)",Quali aspetti dell’assemblaggio hai trovato più positivi?,Quali aspetti dovrebbero essere migliorati?,Ulteriori commenti o suggerimenti
2/13/2026 11:43:01,28,M,>= 30 e < 40,Ricercatore,,Intermedia (1–3 anni),LEGO Duplo,5,5,1,Adeguato,,1,5,No,,5,"No, mai",,5,5,5,,5,,,
2/13/2026 12:08:34,29,M,>= 25 e < 30,Ricercatore,,Base (≤ 1 anno),Racing Car Toy,4,3,2,Troppo lungo,gli alettoni laterali sono complessi da posizionare correttamente,1,2,No,nel ruotare la macchina per assemblare gli alettoni laterali,3,"No, mai",,2,5,3,forse un sostegno per tenere in posizione delle parti,4,molto intuitivo dove i pezzi dovessero essere posizionati infine,le istruzioni sono poco chiare su come gli alettoni laterali vengono ancorati alla struttura princiaple,
2/13/2026 15:42:15,30,M,>= 25 e < 30,Studente,,Base (≤ 1 anno),Racing Car Toy,3,4,2,Adeguato,l'assemblaggio delle minigonne era meno intuitivo rispetto il resto ed è il punto in cui ho commesso un errore e ho dovuto smontare un attimo il modellino il resto era intuitivo,1,4,No,"le minigonne, non avendo prestato l'attenzione dovuta ho commesso un errore nel montaggio che ha forzato lo smontaggio del robot",2,"No, mai",con eccezione di mettersi in imbarazzo fallendo nel montare il modellino no nessuna,3,5,3,l' istruzione delle minigonne se messa alla fine renderebbe meno confusa l'assemblaggio,4,è relativamente semplice amche commettendo un errore smontare per resettare il tutto non è difficile,usare istruzioni più simili al ikea con più passsaggi ma più semplice forse renderebbe più facile il montaggio,
2/13/2026 16:14:32,31,M,>= 25 e < 30,Ingegnere / Progettista,,Intermedia (1–3 anni),Racing Car Toy,5,4,4,Adeguato,tenere assieme entrambe le viti laterali ancora non fissate,1,4,No,,5,"No, mai",,3,5,3,avrei potuto seguire un'altra sequenza di montaggio per migliorare l'efficienza,5,viti scorrevoli,,
2/23/2026 13:51:51,46,F,>= 30 e < 40,Ricercatore,,Base (≤ 1 anno),Racing Car Toy,5,4,3,Adeguato,para urti laterale,1,3,No,forse avrei preferito una sedia,5,"No, mai",nessuno,4,4,4,breve video 3d dell'assemblaggio,5,il test è stato chiaro e piuttosto divertente perchè non avevo mai montato una macchina con i lego,postura e breve video 3d dell'assemblaggio,nessuno 
2/23/2026 14:31:02,48,F,>= 18 e < 25,Studente,,Base (≤ 1 anno),Racing Car Toy,3,3,2,Adeguato,paraurti laterali,1,1,Sì,mettere le ali laterali,5,"No, mai",,3,5,4,istruzioni migliori,4,,,
2/23/2026 14:47:48,50,M,>= 18 e < 25,Studente,,Intermedia (1–3 anni),Racing Car Toy,4,4,3,Adeguato,Aste laterali,1,3,No,montaggio aste laterali,4,"No, mai",,4,3,4,vista laterale,3,simmetria rispetto ordine montaggio,,
2/24/2026 12:16:21,53,M,>= 18 e < 25,Studente,,Nessuna,Racing Car Toy,4,3,2,Adeguato,,1,5,No,,5,"No, mai",,3,5,3,Avere un foglio in cui si esplicita l'ordine con cui fare i vari passaggi,5,Le istruzioni venivano date attraverso le immagini ed erano visualizzate in maniera compatta,Spiegare in che ordine eseguire i passaggi,
2/24/2026 17:06:15,60,F,>= 25 e < 30,Ricercatore,,Base (≤ 1 anno),Racing Car Toy,4,3,1,Adeguato,Pensavo che la parte argento andasse dentro,1,3,No,Il tavolo era leggermente basso (ma io sono alta 1.82m),5,"No, mai",Nessuno,4,5,4,Numerare quali parti andrebbero montate prima (anche se non c'è una vera e propria sequenza),4,La distribuzione dei pezzi sul tavolo,"Forse il foglio dei componenti, li numererei","Perchè non un tavolo regolabile? Sarebbe utile, così da regolarlo in base all'altezza dell'operatore"
2/24/2026 17:52:46,64,M,>= 40 e < 50,Altro,,Nessuna,Racing Car Toy,5,5,5,Adeguato,,,5,No,,5,"No, mai",,5,5,5,,5,,,
2/25/2026 11:36:31,66,F,>= 50,Altro,Coordinatrice organizzativa festival di cinema,Nessuna,Racing Car Toy,4,4,4,Troppo lungo,all'inizio  mi sembraa non si bloccassero il paraurti fronatle e l'alettone posteriore,1,5,No,tutto ok,5,"No, mai",potrebbero cadere dal tavolino le viti se non si sta attenti,5,5,4,"se ci fossero le varie fasi step by step con i numeri. 1 metti il motore, 2: metti l tettuccio....ecc",5,tutto divertente e soprattutto vedere la macchinina finita. ,dare istruzioni più in sequenza invece che tutto in unn unico disegno,vorrei assemblarne un'altra
3/2/2026 14:33:52,69,F,>= 18 e < 25,Studente,,Base (≤ 1 anno),LEGO Duplo,4,5,1,Adeguato,,1,4,No,,5,"No, mai",,5,5,5,,5,,,
3/2/2026 16:38:32,71,M,>= 30 e < 40,Ricercatore,,Nessuna,LEGO Duplo,5,5,1,Troppo breve,,1,5,No,,5,"No, mai",,5,5,5,,5,,,
3/2/2026 17:31:33,73,M,>= 18 e < 25,Studente,,Base (≤ 1 anno),Racing Car Toy,4,4,2,Non saprei,The lateral bumper,3,3,No,,5,"No, mai",,4,5,4,,4,,,
3/2/2026 17:53:53,73,M,>= 18 e < 25,Studente,,Base (≤ 1 anno),LEGO Duplo,4,5,1,Adeguato,,1,4,No,,5,"No, mai",,5,5,5,,5,,,
3/3/2026 11:20:44,75,M,>= 25 e < 30,Ricercatore,,Base (≤ 1 anno),Racing Car Toy,5,4,2,Troppo lungo,Assemblaggio dei lateral bumpers,1,5,No,/,5,"No, mai",/,4,5,4,Ripetere il procedimento più volte,5,"Istruzioni chiarissime, anche visivamente (non erano in bianco e nero, facilitando il riconoscimento dei singoli componenti). Componenti disposti ordinatamente sul tavolo prima dell'inizio dell'esperienza",/,/
3/3/2026 11:50:41,76,M,>= 18 e < 25,Studente,,Avanzata (> 3 anni),Racing Car Toy,5,5,2,Adeguato,Capire come fissare le minigonne perché cercavo il buco per la vite sul fianco della macchina,1,5,No,,5,"No, mai",,5,5,5,,5,Le istruzioni erano chiare e intuitive e i pezzi ben separati e facilmente identificabili,,
3/4/2026 11:22:10,77,M,>= 18 e < 25,Studente,,Nessuna,Racing Car Toy,5,4,1,Adeguato,Il motore interno,1,4,No,,5,"No, mai",,4,5,4,Elenco delle parti da cui partire nell'assemblaggio,5,La conclusione con i dettagli finali una volta che la macchina era pronta,Nessuno,
3/4/2026 12:20:40,78,M,>= 18 e < 25,Studente,,Avanzata (> 3 anni),Racing Car Toy,5,5,1,Adeguato,capire che la parte davanti della carrozzeria fosse da avvitare sia con la parte sotto che con la scocca dell auto,1,4,No,,5,"No, mai",,4,5,5,nessuno,5,vedere il prodotto finale,per me nessuno,
3/4/2026 15:46:50,79,F,>= 25 e < 30,Altro,assegnista,Nessuna,Racing Car Toy,3,2,2,Troppo lungo,motore,2,2,No,,5,"No, mai",,4,5,2,guardare maggiormente la figura,4,a livello visivo le varie componenti con colori diversi,nessuno,foglio con elenco delle componenti non letto
3/4/2026 16:11:47,80,F,>= 30 e < 40,Ricercatore,,Avanzata (> 3 anni),Racing Car Toy,3,1,3,Adeguato,Montare gli alettoni laterali sotto alla macchina. E il cofano non si capiva se era giusto che continuasse ad aprirsi.,1,5,No,,5,"No, mai",,3,5,4,,3,Le viti si avvitavano bene e l'oggetto era leggero,Le istruzioni erano complicate da capire. Sarebbe stato meglio un libretto con i passaggi passo a passo per l'assemblaggio,
3/10/2026 15:32:52,81,M,>= 18 e < 25,Studente,,Nessuna,Racing Car Toy,4,3,1,Troppo lungo,l'inserimento dei pezzi laterali,1,4,No,,4,"No, mai",,4,5,4,,4,,Le istruzioni visuali non erano chiarissime,
3/10/2026 15:41:47,82,M,>= 18 e < 25,Studente,,Base (≤ 1 anno),Racing Car Toy,4,4,1,Adeguato,capire quale fosse il miglior punto di partenza,1,3,No,nessun momento ma sul lungo periodo il montaggio in piedi può risultare affaticante per il collo,5,"No, mai",nessuno,5,5,4,,5,la semplicità di applicazione,,
3/10/2026 16:22:01,83,M,>= 30 e < 40,Ricercatore,,Base (≤ 1 anno),Racing Car Toy,5,4,1,Troppo lungo,Assemblare le alette laterali,1,5,No,,5,"No, mai",,5,5,4,,5,,,
3/10/2026 16:27:54,84,F,>= 30 e < 40,Ricercatore,,Nessuna,Racing Car Toy,5,5,1,Adeguato,,1,5,No,,5,"No, mai",,4,5,4,,5,,,
3/10/2026 17:45:15,86,M,>= 50,Ricercatore,,Nessuna,Racing Car Toy,4,4,1,Adeguato,,1,5,,,5,"No, mai",,4,5,5,,5,,,
