exp_id,timestamp,operator_id,gender,age,job,job_other,experience,product,task_clarity,robot_facilitated,robot_natural_interaction,perceived_time,robot_obstacle,robot_obstacle_when,robot_safe,robot_velocity,robot_collision,robot_collision_when,safety_effective,hci_simple,robot_trajectory,system_feedback,comments_system,reduced_robot_downtime,robot_timely,interaction_fluidity,rating,pros,cons,comments_overall,time
car_47,2/23/2026 14:10:58,47,F,C,Researcher,,None,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, significantly",5.0,5,5,ti assiste nell'assemblaggio disponendo i pezzi sulla paittaforma di pick,il tasto invio era un pò lontano e a volte dimenticavo di premerlo perchè pensavo fosse automatico,personalmente un segnale audio alla fine di ogni pezzo assemblato mi avrebbe facilitata nel premere invio. Le istruzioni audio e video potrebbero essere disposte di fornte l'assemblatore ,279.01079753379827
car_51,2/23/2026 15:02:28,51,M,A,Student,,2_Intermediate,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,4.0,5,Yes,potrebbe aver senso mantenere evidenziata la conferma dell'azione precedente fino allo spostamento della parte successiva da parte del robot,"Yes, slightly",5.0,4,5,"facilità di raggiungere componenti, ordinamento elementi",latenza riconoscimento immagini / spostamento componente successivo robot,,289.9133274569702
car_52,2/23/2026 15:39:46,52,M,B,Student,,1_Basic,car,5,3,5,2_Adequate,No,,5,2_Adequate,Never,,5,2.0,4,No,A volte non si capiva se avesse preso l'input o meno,"Yes, significantly",5.0,4,4,,,,326.82589688301084
car_44,2/23/2026 16:11:33,44,M,B,Student,,None,car,5,4,5,3_Too long,Yes,Durante la fase di assemblaggio delle ruote,5,2_Adequate,Never,,4,5.0,5,Yes,,I don't know,5.0,4,3,Evitare di prendere i pezzi,Tempi tra uno step e l'altro,,305.90533713005067
car_54,2/24/2026 12:32:59,54,M,A,Student,,None,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,I don't know,5.0,5,5,Mi ha fatto capire in maniera precisa in che ordine fare i passaggi,"Il passaggio in cui inserire gli ultimi componenti è stato saltato, come se il robot avesse ritenuto che il lavoro fosse già finito",,309.24540367660524
car_61,2/24/2026 17:19:37,61,F,B,Researcher,,2_Intermediate,car,5,4,4,3_Too long,No,,4,2_Adequate,Sometimes,A volte mi sembrava che mi venisse un pochino vicino al braccio,4,5.0,5,Yes,Forse le istruzioni scorrevano un po' lentamente (una volta premuto invio),"Yes, slightly",4.0,4,4,"La sequenza di montaggio, che per esempio io avevo eseguito diversamente nell'assemblaggio manuale",La velocità della GUI,,274.5819086645508
car_63,2/24/2026 17:45:19,63,M,B,Researcher,,2_Intermediate,car,4,2,3,3_Too long,No,,2,2_Adequate,Sometimes,"Nel passaggio delle ruote, la mia concentrazione era sulla macchina e non sul robot che invece si muoveva sullo sfondo",4,4.0,4,No,Sarebbe carino avere un idnicatore dello stato del robot sulla HMI per sapere se il sistema ha letto l'input umano o meno,No,2.0,5,4,Passarmi i componenti in serie,L'HMI può essere migliorata con un LED di stato del robot,Nulla da aggiungere,254.3227444669342
car_65,2/24/2026 18:05:17,65,M,D,Other,osservatore calcio,None,car,5,5,5,,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, significantly",,5,5,,,,315.61579163787843
car_67,2/25/2026 11:53:49,67,F,E,Other,Coordinatrice organizzativa festival cinema ,None,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,molto divertente,"Yes, slightly",5.0,5,5,non ho dovuto capire qual era la sequenza più corretta per l'assemblaggio,forse il robot potrebbe essere leggermente più veloce,"esperienza molto divertente, grazie!",281.487819535141
lego_43,2/27/2026 15:56:37,43,M,B,Researcher,,1_Basic,lego,4,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,,5,Yes,,"Yes, slightly",5.0,5,5,,,,341.6108583241272
lego_40,2/27/2026 16:31:45,40,M,A,Student,,2_Intermediate,lego,4,4,5,2_Adequate,No,,5,2_Adequate,Never,,4,5.0,5,Yes,,"Yes, slightly",5.0,4,4,,,,358.4743162998199
lego_38,2/27/2026 16:39:51,38,M,B,Student,,1_Basic,lego,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,5,5,Non dover pensare al prossimo passo da fare,,,344.5094716658783
lego_68,2/27/2026 19:24:54,68,M,C,Researcher,,2_Intermediate,lego,5,3,5,3_Too long,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,5,5,,,,304.19948146362304
lego_70,3/2/2026 14:45:20,70,F,A,Student,,1_Basic,lego,5,5,4,3_Too long,No,,5,3_Too long,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,4,5,,,,376.0679366929626
lego_72,3/2/2026 16:50:22,72,M,C,Researcher,,None,lego,5,4,5,3_Too long,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,No,4.0,3,3,,,,342.5499525462341
car_72,3/2/2026 16:59:18,72,M,C,Researcher,,None,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",4.0,4,5,,,,280.504818770752
car_74,3/2/2026 17:45:55,74,M,A,Student,,1_Basic,car,5,4,5,2_Adequate,No,,5,2_Adequate,Never,,4,5.0,5,Yes,,No,4.0,5,5,,,,304.07236745666506
lego_74,3/2/2026 18:04:36,74,M,A,Student,,1_Basic,lego,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,No,5.0,4,5,,,,351.10039889526365
lego_76,3/3/2026 12:04:16,76,M,A,Student,,3_Advanced,lego,5,4,4,3_Too long,No,,5,2_Adequate,Never,,4,5.0,5,Yes,,"Yes, slightly",5.0,4,4,"Il non dover cercare i pezzi, ma trovare sempre il pezzo giusto portato dal robot",La velocità di riconoscimento dello stato attuale dell'assemblaggio in modo da ridurre i tempi di attesa del pezzo successivo,,330.2484698487091
lego_79,3/4/2026 16:02:23,79,F,B,Other,assegnista,None,lego,4,5,5,2_Adequate,No,,5,3_Too long,Never,,5,5.0,5,Yes,,No,5.0,5,4,il non dover selezionare la componente da assemblare,velocità del robot,,350.84272620368955
lego_80,3/4/2026 16:26:25,80,F,C,Researcher,,None,lego,5,2,5,3_Too long,No,,5,2_Adequate,Never,,5,4.0,5,No,"Non si capiva se il sistema aveva registrato la pressione del tasto ""Invio"". C'erano dei lunghi momenti in cui non succedeva niente.",No,5.0,3,4,Andava a recuperate i blocchi senza che io li cercassi (anche se sarebbero stati semplici da trovare),"Il feedback dell'interfaccia grafica quando il robot sta ""pensando"" a qual'è la prossima mossa",,377.09585396316527
lego_81,3/10/2026 15:57:28,81,M,A,Student,,None,lego,5,3,5,2_Adequate,No,,5,3_Too long,Never,,4,5.0,5,Yes,,"Yes, slightly",5.0,4,5,Il fatto che rende l'assemblaggio di componenti nell'ordine corretto senza dover pensare a quale pezzo dover inserire dopo,I tempi di risposta del robot per l'identificazione del prossimo pezzo da inserire tramite la fotocamera,,445.0548469502258
lego_82,3/10/2026 16:10:29,82,M,A,Student,,None,lego,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,4,5,facilità nell'assemblaggio,il tempo per riconoscere la fase di assemblaggio dell'oggetto con le fotocamere,,454.2478686405945
lego_83,3/10/2026 16:42:48,83,M,C,Researcher,,1_Basic,lego,5,4,4,3_Too long,No,,5,2_Adequate,Sometimes,Quando appoggiava gli oggetti e io dovevo prenderli in mano,5,4.0,5,Yes,,"Yes, significantly",5.0,5,4,prendere i pezzi giusti in sequenza,velocità del braccio robotico,,415.5809419359589
lego_84,3/10/2026 16:56:40,84,F,B,Researcher,,None,lego,4,2,4,3_Too long,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,,4.0,4,4,,,,441.9240705023956
car_85,3/10/2026 17:20:47,85,M,A,Student,,None,car,5,4,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,4,5,l'assemblaggio guidato permette di non dover pensare a quale pezzo dover montare successivamente avendo già il prossimo pezzo pronto,La velocità con cui il robot capisce quale pezzo passare basandosi sull'assemblaggio,,326.77752055351255
lego_86,3/10/2026 17:59:02,86,M,E,Researcher,,None,lego,5,3,4,3_Too long,No,,5,3_Too long,Never,,5,5.0,4,Yes,,I don't know,4.0,4,5,,Si potrebbe far sì che il primo pezzo venisse sistemato direttamente dal robot nell'area di assembly,,438.5481908150482
car_55,3/19/2026 15:18:18,55,M,A,Student,,1_Basic,car,5,4,3,3_Too long,No,,5,3_Too long,Never,,3,5.0,5,Yes,,"Yes, slightly",5.0,3,4,the movement needed to assemble the car was not demanding,Speed of the robot ,,328.3001215603638
car_56,3/22/2026 23:17:17,56,M,A,Student,,1_Basic,car,5,4,4,3_Too long,No,,5,3_Too long,Never,,5,5.0,5,Yes,,"Yes, slightly",4.0,4,5,"The most helpful aspect of the robotic assistance was that it allowed us to focus solely on assembly rather than searching for specific components. Another positive aspect of the robotic assistance was that the robot handled the car’s assembly plan, and the operator knew exactly what to do step by step.","One thing I would improve is the processing time to make it faster, shorten the approval time for subsequent work stages, or possibly switch to a fully automated work stage approval system. This would result in a faster and more efficient human-robot collaboration system. ","Working with the robot was very straightforward and easy to understand. The system itself is certainly very useful; the only thing I would improve is to make the entire collaboration between humans and robots happen automatically, without the need to approve each step, or perhaps reduce the number of steps requiring approval so that the collaboration can proceed more quickly and be more efficient. ",278.75042384910586
car_58,3/25/2026 13:22:40,58,M,A,Student,,None,car,5,3,3,2_Adequate,No,,4,2_Adequate,Never,,3,4.0,4,Yes,,I don't know,3.0,1,3,,,,220.6787754335022
car_59,4/10/2026 14:23:32,59,M,C,Researcher,,1_Basic,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,5,5,,,,225.7963924420929
car_57,4/16/2026 12:52:26,57,M,B,Student,,None,car,5,4,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,5,5,,,,255.0799277754212
